longitude,latitude,Name,description,osm_id,operator:type,healthcare:speciality,addr:full,amenity,capacity:persons,healthcare,addr:city,source,building,TestingAvailability,BedAvailability,VentilatorAvailability
7.4053223,10.573803999999999,National Eye Centre Nigeria,,317909388,,,,hospital,,,,,,True,False,False
8.0276,7.1493,Oglewu Leprosy Clinic,,501276014,,,,hospital,,,,GNS,,True,False,True
7.445821400000001,10.5452139,The Chasel Hospital,,544297959,,,,hospital,,,,,,True,True,False
7.4494087,10.5906849,1 Division Hospital,,556987914,,,,hospital,,,,,,True,False,False
7.7206866,11.113881300000001,Saidu Dange Railway Hospital,,557611492,,,,hospital,,,,,,False,True,False
7.717007799999999,11.066844099999999,"Institute Of Child Health, ABU Teaching Hospital",,557647653,,,,hospital,,,,,,False,False,False
7.4209643,10.467021,St Gerards Catholic Hospital,,560945782,,,,hospital,,,,,,True,False,False
7.6051087,11.1738996,Ahmadu Bello University Teaching Hospital ( Samaru ),,776296517,,,,hospital,,,,,,False,True,False
3.3612431000000003,6.4956585,Parklande Specialist Hospital,,928544939,,,,hospital,,,,,,False,True,True
3.8882299,7.399211099999999,Alafia Hospital,,959852212,,,,hospital,,,,,,False,False,False
7.434787299999999,10.508250199999999,Prime Hospital,,1191103945,,,,hospital,,,,,,True,True,False
7.435041,10.5082258,Prime Hospital,,1191103979,,,,hospital,,,,,,True,True,False
7.575097500000001,9.0108859,,,1611132419,,,,pharmacy,,,,,,True,False,True
7.433519500000001,10.5077373,Zuman Pharmacy,,1754869254,,,,pharmacy,,,,,,False,False,True
7.4316318,10.5087795,Rakiya Hospital,,1754874188,,,,hospital,,,,,,False,False,False
7.4335116999999995,10.5096487,Nasiru Dokta Chemist,,1754889379,,,,pharmacy,,,,,,False,True,True
6.6043634,7.561169400000001,,,1842624277,,,,pharmacy,,,,,,True,True,True
6.6480836,7.5656231,Mo Clinic,,1842722654,,,,hospital,,,,,,False,True,True
6.6791216,7.540096000000001,Liberty Clinic,,1842742096,,,,hospital,,,,,,False,False,False
7.4333830999999995,10.503841699999999,Alba Clinic,,1880783077,,,,hospital,,,,Kaduna State,,True,True,False
7.4307548,10.5140567,Suleiko Pharmacy,,1880807484,,,,pharmacy,,,,,,False,False,False
5.6256996,6.36661,A1 Winnes Maternity and Nursing Home,,1994156658,,,,hospital,,,,,,True,False,True
5.633429799999999,6.3686488,Adumah Maternity and Nursing,,1994156659,,,,hospital,,,,,,False,False,True
5.6343403,6.370524700000001,Aljumah Maternity and Nursing Home,,1994156772,,,,hospital,,,,,,True,False,True
5.6292833,6.369917099999999,Eromosele Clinic,,1994157307,,,,hospital,,,,,,False,False,True
