X,Y,Name,description,osm_id,operator:type,healthcare:speciality,addr:full,amenity,capacity:persons,healthcare,addr:city,source,building,TestingAvailability,BedAvailability,VentilatorAvailability
8.0276,7.1493,Oglewu Leprosy Clinic,,501276014,,,,hospital,,,,GNS,,True,False,True
3.3612431000000003,6.4956585,Parklande Specialist Hospital,,928544939,,,,hospital,,,,,,False,True,True
7.575097500000001,9.0108859,,,1611132419,,,,pharmacy,,,,,,True,False,True
7.433519500000001,10.5077373,Zuman Pharmacy,,1754869254,,,,pharmacy,,,,,,False,False,True
7.433511699999999,10.5096487,Nasiru Dokta Chemist,,1754889379,,,,pharmacy,,,,,,False,True,True
6.6043634,7.561169400000002,,,1842624277,,,,pharmacy,,,,,,True,True,True
6.6480836,7.5656231,Mo Clinic,,1842722654,,,,hospital,,,,,,False,True,True
5.6256996,6.36661,A1 Winnes Maternity and Nursing Home,,1994156658,,,,hospital,,,,,,True,False,True
5.633429799999999,6.3686488,Adumah Maternity and Nursing,,1994156659,,,,hospital,,,,,,False,False,True
5.6343403,6.370524700000002,Aljumah Maternity and Nursing Home,,1994156772,,,,hospital,,,,,,True,False,True
5.6292833,6.3699170999999986,Eromosele Clinic,,1994157307,,,,hospital,,,,,,False,False,True
5.6407133,6.3795518,Everest Medica lCentre,,1994157308,,,,hospital,,,,,,False,False,True
5.6319238,6.3797718,Quality Medical Centre,,1994157680,,,,hospital,,,,,,True,False,True
5.6262686,6.3667352,Conic Patent Medical Store,,1994159677,,,,pharmacy,,,,,,True,True,True
5.587573,6.3689088,Kelvin Medical Store,,1995054549,,,,pharmacy,,,,,,True,True,True
5.5895093000000005,6.3629675,Mega Clinic and Maternity,,1995055415,,,,hospital,,,,,,False,False,True
5.583945099999998,6.3721666,The Lord Maternity and Nursing Home,,2000020573,,,,hospital,,,,,,True,True,True
5.5878529000000015,6.3638667,reliance medical laboratary,,2000020871,,,,pharmacy,,,,,,False,False,True
5.6351859000000015,6.3775431,Osimike Health Service,,2072621416,,,,hospital,,,,,,True,True,True
5.622454900000001,6.3626748,Oviasu Medical Materinty,,2072621417,,,,hospital,,,,,,True,True,True
5.6230412,6.3621207,"Pharmacist Council, Edo State Medical Store",,2072621420,,,,pharmacy,,,,,,False,False,True
5.625758,6.358785,ST. John Hospital & Maternity,,2072621443,,,,hospital,,,,,,True,False,True
5.5840048,6.3657613,Medicine Store,,2072662184,,,,pharmacy,,,,,,False,False,True
5.5829417,6.3674497,Okungbowa Medical Store,,2072662363,,,,pharmacy,,,,,,False,False,True
5.5817533,6.3661059,Redeem Medical and Maternity,,2072662391,,,,hospital,,,,,,True,False,True
5.6273816,6.3109712999999985,DDS Eye Center,,2075846068,,,,hospital,,hospital,,,,False,False,True
5.6225402,6.3281837,Doctors Quarters,,2075846072,,,,doctors,,doctor,,,,True,False,True
5.625476,6.325816400000001,Flowell Pharnacy,,2153205718,,,,pharmacy,,pharmacy,,,,True,False,True
5.6273101,6.3205693,Golden  Berries,,2154550310,,,,pharmacy,,pharmacy,,,,False,True,True
5.6275919000000005,6.3206707,Irowa Medical Center,,2154569171,,,,hospital,,hospital,,,,True,False,True
5.6337064,6.3349736,Itohan Chemist,,2154569173,,,,pharmacy,,pharmacy,,,,True,True,True
5.6003104000000015,6.2984609,Maxi Heath Medical Center,,2154575306,,,,hospital,,,,,,False,False,True
5.6310177,6.3184794,Jonos Medical Clinic,,2155702032,,,,hospital,,hospital,,,,True,True,True
