longitude,latitude,Name,description,osm_id,operator:type,healthcare:speciality,addr:full,amenity,capacity:persons,healthcare,addr:city,source,building,TestingAvailability,BedAvailability,VentilatorAvailability
7.445821400000002,10.5452139,The Chasel Hospital,,544297959,,,,hospital,,,,,,True,True,False
7.7206866,11.1138813,Saidu Dange Railway Hospital,,557611492,,,,hospital,,,,,,False,True,False
7.6051087,11.1738996,Ahmadu Bello University Teaching Hospital ( Samaru ),,776296517,,,,hospital,,,,,,False,True,False
3.3612431000000003,6.4956585,Parklande Specialist Hospital,,928544939,,,,hospital,,,,,,False,True,True
7.434787299999999,10.5082502,Prime Hospital,,1191103945,,,,hospital,,,,,,True,True,False
7.435041,10.5082258,Prime Hospital,,1191103979,,,,hospital,,,,,,True,True,False
7.433511699999999,10.5096487,Nasiru Dokta Chemist,,1754889379,,,,pharmacy,,,,,,False,True,True
6.6043634,7.561169400000002,,,1842624277,,,,pharmacy,,,,,,True,True,True
6.6480836,7.5656231,Mo Clinic,,1842722654,,,,hospital,,,,,,False,True,True
7.433383099999999,10.5038417,Alba Clinic,,1880783077,,,,hospital,,,,Kaduna State,,True,True,False
5.6255555,6.3604606,Itohan Medical Clinic,,1994157347,,,,hospital,,,,,,False,True,False
5.6357221,6.3729748,Medicine Store,,1994157404,,,,pharmacy,,,,,,True,True,False
5.6262686,6.3667352,Conic Patent Medical Store,,1994159677,,,,pharmacy,,,,,,True,True,True
5.6270527,6.3674798,Recall Life Pharmacy,,1994159685,,,,pharmacy,,,,,,False,True,False
5.587573,6.3689088,Kelvin Medical Store,,1995054549,,,,pharmacy,,,,,,True,True,True
5.589700499999998,6.3628725,Royal Okhia Pharmacy,,1995055581,,,,pharmacy,,,,,,True,True,False
5.583945099999998,6.3721666,The Lord Maternity and Nursing Home,,2000020573,,,,hospital,,,,,,True,True,True
5.6351859000000015,6.3775431,Osimike Health Service,,2072621416,,,,hospital,,,,,,True,True,True
5.622454900000001,6.3626748,Oviasu Medical Materinty,,2072621417,,,,hospital,,,,,,True,True,True
5.6270095,6.3049885,St Rapheal Hospital,,2075846368,,,,hospital,,hospital,,,,False,True,False
5.629824500000002,6.3309984,Abe Medical Clinic and Maternity,,2154223853,,,,clinic,,clinic,,,,False,True,False
5.6273101,6.3205693,Golden  Berries,,2154550310,,,,pharmacy,,pharmacy,,,,False,True,True
5.6268802,6.3294953000000005,IK Pharmacy,,2154559627,,,,pharmacy,,pharmacy,,,,False,True,False
5.6337064,6.3349736,Itohan Chemist,,2154569173,,,,pharmacy,,pharmacy,,,,True,True,True
5.6310177,6.3184794,Jonos Medical Clinic,,2155702032,,,,hospital,,hospital,,,,True,True,True
5.6124147,6.3285132000000015,Oretse Medical Centre,,2155708192,,,,hospital,,,,,,False,True,True
5.616827099999999,6.312744,Syncamore HHospital,,2155731331,,,,hospital,,hospital,,,,True,True,False
5.619104599999999,6.329308,Ladith centre pharmacy,,2155787295,,,,pharmacy,,pharmacy,,,,True,True,False
4.7914739,8.2780545,Primary Health Centre,,2157172492,,,,hospital,,,,,,True,True,True
5.630746299999998,6.3368862,Aronsaye Maternity,,2160629643,,,,hospital,,hospital,,,,True,True,False
5.6261102,6.330707599999998,Assurance Medical Lab,,2160629703,,,,,,laboratory,,,,True,True,False
5.6002852,6.2984263,MaxiHealth Medical Centre,,2160845043,,,,hospital,,,,,,True,True,True
5.625031,6.3278675,Fouintain Of Life Hospital,,2161051792,,,,hospital,,hospital,,,,True,True,False
5.626319400000002,6.324509099999998,Josaf Pharm,,2161060443,,,,pharmacy,,pharmacy,,,,False,True,False
5.6252333,6.3266028,New Smile Dental Clinic,,2161071550,,,,dentist,,dentist,,,,True,True,True
5.6014862,6.3071136,Society for Family Health,,2161078992,,,,doctors,,,,,,True,True,False
5.6178101,6.3082442,St. Robina Hospitle,,2161101547,,,,hospital,,hospital,,,,False,True,False
5.6282101,6.320509,Sumel Optomentry,,2161108211,,,,,,optometrist,,,,False,True,False
5.6272727,6.3208621,Union Diagnostics,,2161111257,,,,pharmacy,,pharmacy,,,,False,True,False
5.597335,6.341757,Westend Clinic,,2344220914,,,,hospital,,,,,,True,True,False
5.5979947,6.3384324,Hanora Clinic,,2344271062,,,,hospital,,,,,,False,True,True
5.5983861,6.3318386,Danzee Memorial Clinic,,2344305773,,,,hospital,,,,,,False,True,False
5.5971064,6.3317339000000015,ultimate health medical centre/laboratory,,2344305801,,,,hospital,,,,,,False,True,False
5.6067505,6.3322083,Bupa Medical Centre,,2344316133,,,,hospital,,,,,,True,True,True
5.608807499999998,6.3297104000000015,Gims Medical Centre,,2344316139,,,,hospital,,,,,,True,True,True
5.577875700000001,6.3257442,Pharmacy,,2344332416,,,,pharmacy,,,,,,True,True,False
5.6041556,6.3302555,Okorare Clinic and Maternity,,2344424488,,,,hospital,,,,,,False,True,False
5.6060622,6.3155887,NAF Medical Centre,,2344448401,,,,hospital,,,,,,False,True,True
5.5805978,6.3269614,Chisi Cottage Clinic,,2344590775,,,,hospital,,,,,,True,True,False
5.6099239,6.342347900000001,Service Pharmacetical,,2344596615,,,,pharmacy,,,,,,True,True,False
5.6157171,6.3368143,Ewaen Clinic&Maternity,,2349397490,,,,hospital,,,,,,False,True,True
5.6269552,6.3530968,St. Bridget X - Ray Centre,,2349424016,,,,hospital,,,,,,True,True,True
5.6306475,6.3448945,,,2349475745,,,,,,laboratory,,,,True,True,True
5.616868,6.3529911,Ladith Pharmacy,,2350815002,,,,pharmacy,,,,,,False,True,True
5.6187768,6.3397699,Ehibass Pharmacy Store,,2350849577,,,,pharmacy,,,,,,True,True,False
5.6257815,6.3418331,Osula Hospital,,2350879760,,,,hospital,,hospital,,,,True,True,False
5.627517299999999,6.3450508,Ukponmwan Foudation Hospital,,2350879796,,,,hospital,,hospital,,,,True,True,False
5.6192296,6.3490212,Julsam Pharmacy,,2350899870,,,,pharmacy,,,,,,False,True,False
3.6460562999999993,12.7084177,Case de Santé de Massama,,2428001463,,,,clinic,,,,survey,,False,True,False
7.515954,6.480075,Abakpa Nike Health Centre,,2455132993,,,,hospital,,,,,,True,True,False
7.516717999999999,6.481356,Aickon Specialist Hospital,,2455132999,,,,hospital,,,,,,False,True,True
7.4956429999999985,6.464027,Alfa Medical Center,,2455133001,,,,clinic,,,,,,True,True,True
7.494027,6.4789080000000006,Alpha Specialist Hospital,,2455133003,,,,hospital,,,,,,True,True,True
7.4921820000000015,6.482258,Carolina Specialist Clinic,,2455133013,,,,clinic,,,,,,False,True,False
7.519431,6.479913,Chinwendu Clinic & Maternity,,2455133015,,,,clinic,,,,,,False,True,True
7.519314,6.482138,Chukwuebuka Hospital,,2455133017,,,,hospital,,,,,,True,True,False
